scientific_name,common_name,category_key,rarity_hint,description,tips,created_at,photo_url
Acanthis flammea,Sizerin flammé,birds,epic,"Petit fringille brun strié, calotte rouge vif, bavette noire, poitrine teintée de rose chez le mâle. Souvent en bandes avec tarins.",Hivernant irrégulier des bouleaux et aulnes des plaines (nov-mars). À chercher mêlé aux tarins des aulnes au-dessus des cours d'eau bordés d'aulnaies.,2026-05-11 17:21:32.121165+00,
Accipiter gentilis,Autour des palombes,birds,rare,"Grand accipitridé, version XL de l'épervier, gris ardoise dessus, dessous blanc finement barré, sourcil blanc bien marqué. Très discret en forêt.","Grandes forêts feuillues et mixtes toute l'année. Cherche les vols nuptiaux en cercles serrés au-dessus de la canopée en mars-avril, sinon difficilement visible.",2026-05-11 17:25:50.984936+00,
Accipiter nisus,Épervier d'Europe,birds,common,"Petit accipitridé aux ailes courtes arrondies et longue queue. Mâle gris ardoise et roux barré dessous, femelle plus grande brune barrée.","Bois, bocages, jardins toute l'année. Cherche-le passant à toute vitesse entre les arbres ou en chasse-surprise dans une haie, ou planant haut au printemps.",2026-05-11 17:25:50.984936+00,
Acrocephalus arundinaceus,Rousserolle turdoïde,birds,rare,"Plus grande rousserolle d'Europe, taille d'une grive, brun roux uniforme, sourcil pâle. Chant fort et rauque « karre-karre-karre » distinctif.","Grandes roselières d'étangs et marais de mai à août. Écoute le chant puissant et grinçant qui porte loin, mâle parfois en évidence sur un roseau.",2026-05-11 17:21:32.121165+00,
Acrocephalus paludicola,Phragmite aquatique,birds,legendary,"Très rare petit phragmite à raies noires nettes sur la calotte, dos lisse strié. Espèce mondialement menacée, en passage strict.","En passage d'août-septembre dans les marais atlantiques et baies (Brière, Audomarois). Recherche très spécialisée, capture-baguage indispensable souvent.",2026-05-11 17:21:32.121165+00,
Acrocephalus palustris,Rousserolle verderolle,birds,rare,"Très semblable à l'effarvatte mais plumage plus olivâtre, pattes claires. Chant volubile mêlant nombreuses imitations d'autres oiseaux.","Friches humides à hautes herbes, orties, saules de mai à août. À identifier au chant : véritable mimétique virtuose, contrairement à l'effarvatte rythmée.",2026-05-11 17:21:32.121165+00,
Acrocephalus schoenobaenus,Phragmite des joncs,birds,rare,"Petite fauvette aquatique brun chamois strié, sourcil crème très marqué surmonté d'une raie sombre. Chant volubile entrecoupé d'imitations.","Roselières basses, prairies humides à carex de mai à août. Chante souvent en vol nuptial bref bondissant au-dessus de la végétation.",2026-05-11 17:21:32.121165+00,
Acrocephalus scirpaceus,Rousserolle effarvatte,birds,rare,"Petite fauvette aquatique brun chaud uniforme, sans marque, gorge blanchâtre. Chant rythmé en phrases répétées par 2-3 fois.","Roselières et phragmitaies de mai à août. Écoute le chant régulier émis depuis le couvert, rampe entre les tiges à mi-hauteur dans les massifs denses.",2026-05-11 17:21:32.121165+00,
Actitis hypoleucos,Chevalier guignette,birds,common,"Petit limicole trapu, brun olive dessus, dessous blanc avec « croissant » blanc remontant devant l'aile, queue battant constamment.","Berges de rivières, étangs, gravières surtout en passage. Cherche la queue agitée en balancier permanent et le vol bas raide aux ailes vibrantes typique.",2026-05-11 17:32:01.760665+00,
Aegithalos caudatus,Mésange à longue queue,birds,common,Minuscule boule de plumes rose et noir prolongée d'une longue queue noire à liserés blancs. Toujours en petites bandes bavardes.,"Lisières, bocages, jardins arborés. Suis les contacts aigus « tsi-tsi-tsi » d'un groupe qui traverse en file indienne.",2026-05-11 17:15:47.208986+00,
Aegolius funereus,Chouette de Tengmalm,birds,epic,"Petite chouette montagnarde à grande tête, face blanche encadrée de noir, gros yeux jaune vif, allure étonnée. Strictement nocturne.","Vieilles forêts de conifères d'altitude (Vosges, Jura, Alpes, Pyrénées). S'identifie au chant nocturne « pou-pou-pou-pou » rapide en mars-avril, plus que vue.",2026-05-11 17:25:50.984936+00,
Aegypius monachus,Vautour moine,birds,legendary,"Le plus grand rapace d'Europe, entièrement brun très sombre, tête nue grisâtre, allure de planche noire en vol. Réintroduit dans les Causses.","Causses (Lozère, Aveyron) et Verdon toute l'année. Cherche-le en vol planant haut avec les fauves, silhouette plus sombre et plus massive.",2026-05-11 17:25:50.984936+00,
Alauda arvensis,Alouette des champs,birds,common,"Passereau brun strié, petite huppe érectile, bord d'aile postérieur blanc. Chant interminable émis en vol stationnaire haut dans le ciel.","Plaines céréalières, prairies ouvertes toute l'année. Écoute le chant ininterrompu du mâle planant en point fixe très haut, surtout de mars à juillet.",2026-05-11 17:21:32.121165+00,
Alca torda,Pingouin torda,birds,epic,"Alcidé trapu noir et blanc, bec massif noir aplati barré d'une fine ligne blanche verticale, allure de petit pingouin. Niche en falaises.","Côtes de Bretagne et Manche en hivernage (octobre-mars), niche aux Sept-Îles. Cherche-le posé sur l'eau au large ou en vol direct rapide ras des vagues.",2026-05-11 17:32:01.760665+00,
Alcedo atthis,Martin-pêcheur d'Europe,birds,rare,"Petit oiseau spectaculaire au dos bleu turquoise iridescent, ventre orange vif, bec long en dague noir. Vol direct éclair au ras de l'eau.","Rivières lentes, étangs, canaux toute l'année. Repère le passage en flèche bleue au ras de l'eau, ou cherche-le posé immobile sur une branche basse surplombant l'eau.",2026-05-11 20:02:32.740404+00,
Alectoris graeca,Perdrix bartavelle,birds,epic,"Perdrix montagnarde proche de la rouge mais collier noir net et fin, flancs barrés plus contrastés, plus pâle. Strictement alpine en France.","Pelouses rocailleuses des Alpes au-dessus de 1500 m toute l'année. Cherche les groupes dans les éboulis ensoleillés, écoute le chant rappelant la rouge mais plus aigu.",2026-05-11 20:02:32.740404+00,
Alectoris rufa,Perdrix rouge,birds,rare,"Perdrix méridionale colorée, joues blanches cerclées d'un collier noir grené, flancs barrés noir, blanc et marron, bec et pattes rouges vif.","Garrigues, vignes, friches du sud et centre toute l'année. Cherche les groupes courant au sol entre les pierres, chant de séquence « tcheka-tcheka » caractéristique.",2026-05-11 20:02:32.740404+00,
Anarhynchus alexandrinus,Gravelot à collier interrompu,birds,epic,"Petit gravelot pâle sableux, collier seulement amorcé sur les côtés (interrompu sur la poitrine), pattes noires, calotte rousse chez le mâle.","Hauts de plages et lagunes méditerranéennes et atlantiques (mars-août). Espèce menacée, à chercher sur les plages préservées hors zones piétinées.",2026-05-11 17:32:01.760665+00,
Anas acuta,Canard pilet,birds,rare,"Canard élégant, mâle à tête brun chocolat, collier blanc remontant sur le cou, longue queue effilée pointue. Femelle élancée terne et longue.","Grands étangs, baies, vasières d'octobre à avril surtout. Cherche le mâle à la queue pointue caractéristique, plus haut sur l'eau que les autres canards.",2026-05-11 17:29:10.709741+00,
Anas crecca,Sarcelle d'hiver,birds,rare,"Plus petit canard d'Europe, mâle à tête marron barrée d'un large bandeau vert vif, miroir vert. Vol rapide en bandes serrées et nerveuses.","Étangs, marais, vasières d'octobre à mars surtout. Cherche les petites bandes nerveuses qui s'envolent en grappe explosive au moindre dérangement.",2026-05-11 17:29:10.709741+00,
Anas platyrhynchos,Canard colvert,birds,common,"Canard de surface le plus répandu, mâle à tête vert iridescent, collier blanc, poitrine brun marron. Femelle brun strié au miroir bleu violet.","Tous plans d'eau, parcs urbains, fossés toute l'année. Présent partout, le plus facile des canards à observer, souvent en couples ou groupes.",2026-05-11 17:29:10.709741+00,
